app_lang_sign	en	pl	de	es	pt	fr	it	tr	id	th	ja	ko	zh	ar	ru	uk	vi	hi	bn	ur	ms	sw	he	el	nl	sv	ro	hu	cs	sk	sr	bg
app_about_email	E-mail	E-mail	Email	Correo electrónico	E-mail	E-mail	E-mail	E-posta	Surel	อีเมล	E メール	이메일	电子邮件	بريد إلكتروني	Электронная почта	Електронна пошта	E-mail	ईमेल	ই-মেইল	ای میل	E-mel	Barua pepe	דואר אלקטרוני	Ηλεκτρονική αλληλογραφία	E-mail	E-post	E-mail	E-mail	E-mail	E-mail	E-pošta	Електронна поща
app_about_webpage	Webpage	Strona internetowa	Website	Página web	Página da Internet	Page web	Pagina web	Web sayfası	Halaman web	หน้าเว็บ	ウェブページ	웹 페이지	网页	صفحة على الإنترنت	Веб-страница	Веб-сторінка	Trang web	वेब पृष्ठ	ওয়েবপেজ	ویب صفحہ	Laman web	Ukurasa wa wavuti	דף אינטרנט	Ιστοσελίδα	Webpagina	Webbsida	Pagină web	Weboldal	Webová stránka	Webová stránka	Veb stranica	Уеб страница
social_google_youtube_channel	YouTube Channel	Kanał YouTube	Youtube Kanal	Canal de Youtube	Canal do Youtube	Chaîne Youtube	Canale Youtube	Youtube kanalı	Saluran Youtube	ช่องยูทูป	YouTube チャンネル	유튜브 채널	YouTube 频道	قناة يوتيوب	YouTube канал	Канал YouTube	Kênh Youtube	यूट्यूब चैनल	ইউটিউব চ্যানেল	یوٹیوب چینل	Saluran YouTube	Chaneli ya YouTube	ערוץ YouTube	Κανάλι YouTube	YouTube-kanaal	YouTube-kanal	Canal YouTube	YouTube csatorna	Kanál YouTube	Kanál YouTube	YouTube Kanal	YouTube Канал
store_google_play	Store Google Play	Sklep Google Play	Store Google Play	Tienda Google Play	Armazene o Google Play	Magasin Google Play	Memorizza Google Play	Google Play\'i saklayın	Simpan Google Play	เก็บ Google Play	Google Play ストア	Google Play 스토어	Google Play 商店	متجر جوجل بلاي	Магазин Google Play	Магазин Google Play	Cửa hàng Google Play	Google Play स्टोर करें	Google Play স্টোর করুন	Google Play کو اسٹور کریں۔	Kedai Google Play	Duka la Google Play	חנות Google Play	Κατάστημα Google Play	Google Play Store	Google Play Butik	Magazin Google Play	Google Play Áruház	Obchod Google Play	Obchod Google Play	Prodavnica Google Play	Магазин Google Play
app_technical_parameters	Technical parameters	Parametry techniczne	Technische Parameter	Parámetros técnicos	Parâmetros técnicos	paramètres techniques	parametri tecnici	teknik parametreler	Parameter teknik	พารามิเตอร์ทางเทคนิค	技術的パラメータ	기술적인 매개변수	技术参数	المعايير الفنية	Технические характеристики	Технічні параметри	Các thông số kỹ thuật	तकनीकी मापदंड	প্রযুক্তিগত পরামিতি	تکنیکی پیرامیٹرز	Parameter teknikal	Vigezo vya kiufundi	פרמטרים טכניים	Τεχνικές παράμετροι	Technische parameters	Tekniska parametrar	Parametri tehnici	Műszaki paraméterek	Technické parametry	Technické parametre	Tehnički parametri	Технически параметри
app_email_question	Question	Pytanie	Frage	Pregunta	Pergunta	Question	Domanda	Soru	Pertanyaan	คำถาม	質問	질문	问题	سؤال	Вопрос	Питання	Câu hỏi	सवाल	প্রশ্ন	سوال	Soalan	Swali	שאלה	Ερώτηση	Vraag	Fråga	Întrebare	Kérdés	Dotaz	Otázka	Pitanje	Въпрос
app_email_client_title	Send email	Wyślij email	E-Mail senden	Enviar correo electrónico	Enviar email	Envoyer un e-mail	Invia una email	Eposta gönder	Mengirim email	ส่งอีเมล	メールを送る	이메일을 보내	发电子邮件	ارسل بريد الكتروني	Отправить письмо	Відправити лист	Gửi email	ईमेल भेजें	ইমেইল পাঠান	ای میل بھیجیں	Hantar e-mel	Tuma barua pepe	שלח דואר אלקטרוני	Αποστολή email	E-mail verzenden	Skicka e-post	Trimite e-mail	E-mail küldése	Odeslat e-mail	Odoslať e-mail	Pošalji e-poštu	Изпращане на имейл
app_email_client_missing	No email application	Brak aplikacji do emaili	Keine E-Mail-Bewerbung	Sin solicitud de correo electrónico	Nenhum aplicativo de e-mail	Pas de candidature par courrier électronique	Nessuna applicazione di posta elettronica	E-posta uygulaması yok	Tidak ada aplikasi email	ไม่มีแอปพลิเคชันอีเมล	メールアプリはありません	이메일 신청 불가	没有电子邮件申请	لا يوجد تطبيق البريد الإلكتروني	Нет приложения электронной почты	Немає програми електронної пошти	Không có ứng dụng email	कोई ईमेल एप्लिकेशन नहीं	কোন ইমেল আবেদন	کوئی ای میل درخواست نہیں ہے۔	Tiada aplikasi e-mel	Hakuna programu ya barua pepe	אין יישום דואר אלקטרוני	Δεν υπάρχει εφαρμογή email	Geen e-mailapplicatie	Ingen e-postapplikation	Nicio aplicație de e-mail	Nincs e-mail alkalmazás	Žádná e-mailová aplikace	Žiadna e-mailová aplikácia	Nema aplikacije za e-poštu	Няма приложение за електронна поща
help_tip_remove_ads	To remove ads, purchase full version of the application	Aby usunąć reklamy kup pełną wersję aplikacji	Um Werbung zu entfernen, erwerben Sie die Vollversion der Anwendung	Para eliminar anuncios, compre la versión completa de la aplicación.	Para remover anúncios, adquira a versão completa do aplicativo	Pour supprimer les publicités, achetez la version complète de l\'application	Per rimuovere gli annunci, acquista la versione completa dell\'applicazione	Reklamları kaldırmak için uygulamanın tam sürümünü satın alın	Untuk menghapus iklan, beli aplikasi versi lengkap	หากต้องการลบโฆษณา ให้ซื้อแอปพลิเคชันเวอร์ชันเต็ม	広告を削除するには、アプリケーションのフルバージョンを購入してください	광고를 제거하려면 애플리케이션 정식 버전을 구입하세요.	要删除广告，请购买完整版应用程序	لإزالة الإعلانات، قم بشراء النسخة الكاملة من التطبيق	Чтобы убрать рекламу, приобретите полную версию приложения	Щоб видалити рекламу, придбайте повну версію програми	Để xóa quảng cáo, hãy mua phiên bản đầy đủ của ứng dụng	विज्ञापन हटाने के लिए, एप्लिकेशन का पूर्ण संस्करण खरीदें	বিজ্ঞাপনগুলি সরাতে, অ্যাপ্লিকেশনটির সম্পূর্ণ সংস্করণ ক্রয় করুন	اشتہارات کو ہٹانے کے لیے، ایپلیکیشن کا مکمل ورژن خریدیں۔	Untuk membuang iklan, beli versi penuh aplikasi	Ili kuondoa matangazo, nunua toleo kamili la programu	כדי להסיר פרסומות, רכוש את הגרסה המלאה של היישום	Για να καταργήσετε τις διαφημίσεις, αγοράστε την πλήρη έκδοση της εφαρμογής	Om advertenties te verwijderen, koop de volledige versie van de applicatie	För att ta bort annonser, köp den fullständiga versionen av applikationen	Pentru a elimina anunțurile, achiziționează versiunea completă a aplicației	A hirdetések eltávolításához vásárold meg az alkalmazás teljes verzióját	Chcete-li odebrat reklamy, zakupte si plnou verzi aplikace	Ak chcete odstrániť reklamy, zakúpte si plnú verziu aplikácie	Da biste uklonili oglase, kupite punu verziju aplikacije	За да премахнете рекламите, закупете пълната версия на приложението
help_tip_rating	Don\'t forget about the positive rating	Nie zapomnij o pozytywnej ocenie	Vergessen Sie nicht die positive Bewertung	No te olvides de la calificación positiva.	Não se esqueça da avaliação positiva	N\'oubliez pas la note positive	Non dimenticare la valutazione positiva	Olumlu puanı unutmayın	Jangan lupa rating positifnya	อย่าลืมเกี่ยวกับคะแนนเชิงบวก	肯定的な評価を忘れないでください	긍정적인 평가를 잊지 마세요	不要忘记积极的评价	لا تنسى التقييم الإيجابي	Не забывайте о положительном рейтинге	Не забувайте про позитивну оцінку	Đừng quên đánh giá tích cực	सकारात्मक रेटिंग के बारे में मत भूलना	ইতিবাচক রেটিং সম্পর্কে ভুলবেন না	مثبت درجہ بندی کے بارے میں مت بھولنا	Jangan lupa tentang penilaian positif	Usisahau kuhusu ukadiriaji chanya	אל תשכח את הדירוג החיובי	Μην ξεχάσετε τη θετική βαθμολογία	Vergeet de positieve beoordeling niet	Glöm inte det positiva betyget	Nu uita de evaluarea pozitivă	Ne felejtsd el a pozitív értékelést	Nezapomeňte na kladné hodnocení	Nezabudnite na pozitívne hodnotenie	Ne zaboravite pozitivnu ocenu	Не забравяйте да дадете положителна оценка
help_tip_start_introduction	First, listen to a demonstration of the application\'s features, start with the button at the top	Na początek wysłuchaj prezentacji funkcji aplikacji, uruchom przyciskiem u góry	Hören Sie sich zunächst eine Demonstration der Funktionen der Anwendung an. Beginnen Sie mit der Schaltfläche oben	Primero, escuche una demostración de las características de la aplicación, comience con el botón en la parte superior	Primeiro, ouça uma demonstração dos recursos do aplicativo, comece pelo botão na parte superior	Tout d\'abord, écoutez une démonstration des fonctionnalités de l\'application, commencez par le bouton en haut	Per prima cosa ascolta una dimostrazione delle funzionalità dell\'applicazione, inizia con il pulsante in alto	Öncelikle uygulamanın özelliklerinin tanıtımını dinleyin, üstteki düğmeyle başlayın	Pertama, dengarkan demonstrasi fitur aplikasi, mulai dari tombol di bagian atas	ขั้นแรก ฟังการสาธิตคุณสมบัติของแอปพลิเคชัน โดยเริ่มจากปุ่มด้านบน	まず、アプリケーションの機能のデモを聞き、上部のボタンから始めます	먼저, 애플리케이션의 기능에 대한 데모를 듣고, 상단에 있는 버튼부터 시작하세요.	首先，听一下应用程序功能的演示，从顶部的按钮开始	أولاً، استمع إلى عرض توضيحي لميزات التطبيق، ابدأ بالزر الموجود في الأعلى	Сначала послушайте демонстрацию возможностей приложения, начните с кнопки вверху.	Спочатку прослухайте демонстрацію функцій програми, почніть із кнопки вгорі	Đầu tiên, hãy nghe phần trình diễn các tính năng của ứng dụng, bắt đầu bằng nút ở trên cùng	सबसे पहले, एप्लिकेशन की विशेषताओं का प्रदर्शन सुनें, शीर्ष पर बटन से प्रारंभ करें	প্রথমে, অ্যাপ্লিকেশনের বৈশিষ্ট্যগুলির একটি প্রদর্শন শুনুন, উপরের বোতামটি দিয়ে শুরু করুন৷	سب سے پہلے، ایپلیکیشن کی خصوصیات کا ایک مظاہرہ سنیں، سب سے اوپر والے بٹن سے شروع کریں۔	Mula-mula, dengar demonstrasi ciri-ciri aplikasi, mulakan dengan butang di bahagian atas	Kwanza, sikiliza onyesho la vipengele vya programu, anza na kitufe kilicho juu	תחילה, האזן להדגמה של תכונות היישום, התחל עם הכפתור בחלק העליון	Πρώτα, ακούστε μια επίδειξη των λειτουργιών της εφαρμογής, ξεκινήστε με το κουμπί στο επάνω μέρος	Luister eerst naar een demonstratie van de functies van de applicatie, begin met de knop bovenaan	Lyssna först på en demonstration av applikationens funktioner, börja med knappen högst upp	Mai întâi, ascultă o demonstrație a caracteristicilor aplicației, începe cu butonul din partea de sus	Először hallgass meg egy bemutatót az alkalmazás funkcióiról, kezdd a gombbal felül	Nejprve si poslechněte ukázku funkcí aplikace, začněte tlačítkem nahoře	Najprv si vypočujte ukážku funkcií aplikácie, začnite tlačidlom hore	Prvo, poslušajte demonstraciju funkcija aplikacije, počnite sa dugmetom na vrhu	Първо, изслушайте демонстрация на функциите на приложението, започнете с бутона в горната част
help_tip_on_event_screen	In the parameters, you can set the battery status notification after pressing the unlock button	W parametrach możesz ustawić powiadomienie o stanie baterii po wciśnięciu przycisku odblokowania	In den Parametern können Sie die Benachrichtigung über den Batteriestatus nach Drücken der Entriegelungstaste einstellen	En los parámetros, puede configurar la notificación del estado de la batería después de presionar el botón de desbloqueo	Nos parâmetros, você pode definir a notificação do status da bateria após pressionar o botão de desbloqueio	Dans les paramètres, vous pouvez définir la notification de l\'état de la batterie après avoir appuyé sur le bouton de déverrouillage	Nei parametri è possibile impostare la notifica sullo stato della batteria dopo aver premuto il pulsante di sblocco	Parametrelerde, kilit açma düğmesine bastıktan sonra pil durumu bildirimini ayarlayabilirsiniz.	Di parameter, Anda dapat mengatur notifikasi status baterai setelah menekan tombol buka kunci	ในพารามิเตอร์ คุณสามารถตั้งค่าการแจ้งเตือนสถานะแบตเตอรี่ได้หลังจากกดปุ่มปลดล็อค	パラメータで、ロック解除ボタンを押した後のバッテリーステータス通知を設定できます	매개변수에서 잠금 해제 버튼을 누른 후 배터리 상태 알림을 설정할 수 있습니다.	在参数中可以设置按下解锁按钮后电池状态通知	في المعلمات، يمكنك ضبط إشعار حالة البطارية بعد الضغط على زر إلغاء القفل	В параметрах можно настроить уведомление о состоянии батареи после нажатия кнопки разблокировки.	У параметрах можна встановити повідомлення про стан заряду батареї після натискання кнопки розблокування	Trong phần thông số, bạn có thể cài đặt thông báo tình trạng pin sau khi nhấn nút mở khóa	पैरामीटर्स में, आप अनलॉक बटन दबाने के बाद बैटरी स्थिति अधिसूचना सेट कर सकते हैं	প্যারামিটারে, আপনি আনলক বোতাম টিপে ব্যাটারির স্থিতি বিজ্ঞপ্তি সেট করতে পারেন	پیرامیٹرز میں، آپ انلاک بٹن دبانے کے بعد بیٹری اسٹیٹس کی اطلاع سیٹ کر سکتے ہیں۔	Dalam parameter, anda boleh menetapkan pemberitahuan status bateri selepas menekan butang buka kunci	Katika vigezo, unaweza kuweka arifa ya hali ya betri baada ya kubonyeza kitufe cha kufungua	בפרמטרים, ניתן להגדיר את התראת מצב הסוללה לאחר לחיצה על כפתור הנעילה	Στις παραμέτρους, μπορείτε να ορίσετε την ειδοποίηση κατάστασης μπαταρίας μετά το πάτημα του κουμπιού ξεκλειδώματος	In de parameters kun je de batterijstatusmelding instellen na het indrukken van de ontgrendelknop	I parametrarna kan du ställa in batteristatusaviseringen efter att du tryckt på upplåsningsknappen	În parametri, poți seta notificarea stării bateriei după apăsarea butonului de deblocare	A paraméterekben beállíthatod az akkumulátor állapotára vonatkozó értesítést a feloldó gomb megnyomása után	V parametrech můžete nastavit upozornění na stav baterie po stisknutí tlačítka odemknutí	V parametroch môžete nastaviť upozornenie na stav batérie po stlačení tlačidla odomknutia	U parametrima možete da podesite obaveštenje o statusu baterije nakon pritiska na dugme za otključavanje	В параметрите можете да зададете известието за състоянието на батерията след натискане на бутона за отключване
help_tip_email	If you have additional questions, please send details by email	Jeśli masz dodatkowe pytania, proszę prześlij szczegóły na email	Wenn Sie weitere Fragen haben, senden Sie bitte Einzelheiten per E-Mail	Si tiene preguntas adicionales, envíe los detalles por correo electrónico.	Se você tiver dúvidas adicionais, envie detalhes por e-mail	Si vous avez des questions supplémentaires, veuillez envoyer les détails par e-mail	Se hai ulteriori domande, invia i dettagli tramite e-mail	Başka sorularınız varsa lütfen ayrıntıları e-postayla gönderin	Jika Anda memiliki pertanyaan tambahan, silakan kirim detailnya melalui email	หากคุณมีคำถามเพิ่มเติม โปรดส่งรายละเอียดทางอีเมล	さらにご質問がある場合は、電子メールで詳細をお送りください	추가 문의사항이 있으시면 이메일로 자세한 내용을 보내주세요	如果您还有其他问题，请通过电子邮件发送详细信息	إذا كانت لديك أسئلة إضافية، يرجى إرسال التفاصيل عبر البريد الإلكتروني	Если у вас есть дополнительные вопросы, отправьте подробную информацию по электронной почте.	Якщо у вас виникли додаткові запитання, надішліть деталі електронною поштою	Nếu bạn có thêm câu hỏi, vui lòng gửi chi tiết qua email	यदि आपके कोई अतिरिक्त प्रश्न हैं, तो कृपया ईमेल द्वारा विवरण भेजें	আপনার অতিরিক্ত প্রশ্ন থাকলে, ইমেলের মাধ্যমে বিশদ বিবরণ পাঠান	اگر آپ کے مزید سوالات ہیں تو براہ کرم تفصیلات بذریعہ ای میل بھیجیں۔	Jika anda mempunyai soalan tambahan, sila hantar butiran melalui e-mel	Ikiwa una maswali zaidi, tafadhali tuma maelezo kwa barua pepe	אם יש לך שאלות נוספות, אנא שלח פרטים בדואר אלקטרוני	Εάν έχετε επιπλέον ερωτήσεις, στείλτε λεπτομέρειες μέσω email	Als je aanvullende vragen hebt, stuur dan details per e-mail	Om du har ytterligare frågor, vänligen skicka information via e-post	Dacă ai întrebări suplimentare, te rugăm să trimiți detalii prin e-mail	Ha további kérdéseid vannak, kérlek, küldj részleteket e-mailben	Máte-li další dotazy, zašlete podrobnosti e-mailem	Ak máte ďalšie otázky, pošlite podrobnosti e-mailom	Ako imate dodatnih pitanja, pošaljite detalje putem e-pošte	Ако имате допълнителни въпроси, моля изпратете подробности по имейл
title_activity_application_settings	Settings	Ustawienia	Einstellungen	Ajustes	Configurações	Paramètres	Impostazioni	Ayarlar	Pengaturan	การตั้งค่า	設定	설정	设置	إعدادات	Настройки	Налаштування	Cài đặt	समायोजन	সেটিংস	ترتیبات	Tetapan	Mipangilio	הגדרות	Ρυθμίσεις	Instellingen	Inställningar	Setări	Beállítások	Nastavení	Nastavenia	Podešavanja	Настройки
title_activity_system_application_settings	System application settings	Ustawienia systemowe aplikacji	Systemanwendungseinstellungen	Configuración de la aplicación del sistema	Configurações do aplicativo do sistema	Paramètres des applications système	Impostazioni dell\'applicazione di sistema	Sistem uygulaması ayarları	Pengaturan aplikasi sistem	การตั้งค่าแอปพลิเคชันระบบ	システムアプリケーション設定	시스템 애플리케이션 설정	系统应用程序设置	إعدادات تطبيق النظام	Настройки системного приложения	Налаштування системної програми	Cài đặt ứng dụng hệ thống	सिस्टम अनुप्रयोग सेटिंग्स	সিস্টেম অ্যাপ্লিকেশন সেটিংস	سسٹم ایپلیکیشن کی ترتیبات	Tetapan aplikasi sistem	Mipangilio ya programu ya mfumo	הגדרות יישומי מערכת	Ρυθμίσεις εφαρμογών συστήματος	Systeem applicatie-instellingen	Systemapplikationsinställningar	Setări aplicație sistem	Rendszer alkalmazásbeállításai	Nastavení systémové aplikace	Nastavenia systémovej aplikácie	Sistemska podešavanja aplikacije	Настройки на системното приложение
title_activity_system_battery_settings	System battery settings	Ustawienia systemowe baterii	Systembatterieeinstellungen	Configuración de la batería del sistema	Configurações da bateria do sistema	Paramètres de la batterie du système	Impostazioni della batteria del sistema	Sistem pil ayarları	Pengaturan baterai sistem	การตั้งค่าแบตเตอรี่ของระบบ	システムバッテリー設定	시스템 배터리 설정	系统电池设置	إعدادات بطارية النظام	Настройки батареи системы	Системні налаштування батареї	Cài đặt pin hệ thống	सिस्टम बैटरी सेटिंग्स	সিস্টেম ব্যাটারি সেটিংস	سسٹم بیٹری کی ترتیبات	Tetapan bateri sistem	Mipangilio ya betri ya mfumo	הגדרות סוללת מערכת	Ρυθμίσεις μπαταρίας συστήματος	Systeem batterij-instellingen	Systembatteriinställningar	Setări baterie sistem	Rendszer akkumulátorbeállításai	Nastavení systémové baterie	Nastavenia systémovej batérie	Sistemska podešavanja baterije	Настройки на системната батерия
title_activity_system_settings	System settings	Ustawienia systemowe	Systemeinstellungen	Ajustes del sistema	Configurações de sistema	Les paramètres du système	Impostazioni di sistema	Sistem ayarları	Pengaturan sistem	การตั้งค่าระบบ	システム設定	환경 설정	系统设置	اعدادات النظام	Настройки системы	Налаштування системи	Cài đặt hệ thống	प्रणाली व्यवस्था	পদ্ধতি নির্ধারণ	سسٹم کی ترتیبات	Tetapan sistem	Mipangilio ya mfumo	הגדרות מערכת	Ρυθμίσεις συστήματος	Systeeminstellingen	Systeminställningar	Setări sistem	Rendszerbeállítások	Nastavení systému	Nastavenia systému	Sistemska podešavanja	Системни настройки
title_activity_events_settings	Notification Settings	Ustawienia powiadomień	Benachrichtigungseinstellungen	Configuración de las notificaciones	Configurações de notificação	Paramètres de notification	Impostazioni di notifica	Bildirim ayarları	Pengaturan pemberitahuan	การตั้งค่าการแจ้งเตือน	通知設定	알림 설정	通知设置	إعدادات الإشعار	Настройки уведомлений	Налаштування сповіщень	Thiết lập thông báo	अधिसूचना सेटिंग्स	বিজ্ঞপ্তি সেটিংস	اطلاع کی ترتیبات	Tetapan Pemberitahuan	Mipangilio ya Arifa	הגדרות התראה	Ρυθμίσεις ειδοποιήσεων	Meldingsinstellingen	Aviseringsinställningar	Setări Notificare	Értesítési beállítások	Nastavení oznámení	Nastavenia upozornení	Podešavanja obaveštenja	Настройки за известия
title_activity_speech_settings	Speech Settings	Ustawienia mowy	Spracheinstellungen	Configuración de voz	Configurações de fala	Paramètres vocaux	Impostazioni vocali	Konuşma Ayarları	Pengaturan Pidato	การตั้งค่าคำพูด	音声設定	음성 설정	语音设置	إعدادات الكلام	Настройки речи	Налаштування мовлення	Cài đặt giọng nói	भाषण सेटिंग	স্পিচ সেটিংস	تقریر کی ترتیبات	Tetapan Ucapan	Mipangilio ya Matamshi	הגדרות דיבור	Ρυθμίσεις ομιλίας	Spraakinstellingen	Talinställningar	Setări Voce	Beszédbeállítások	Nastavení řeči	Nastavenia reči	Podešavanja govora	Настройки за говор
title_activity_help	Help	Pomoc	Helfen	Ayuda	Ajuda	Aide	Aiuto	Yardım	Membantu	ช่วย	ヘルプ	돕다	帮助	يساعد	Помощь	Довідка	Giúp đỡ	मदद	সাহায্য	مدد	Bantuan	Msaada	עזרה	Βοήθεια	Help	Hjälp	Ajutor	Súgó	Nápověda	Pomocník	Pomoć	Помощ
title_activity_tips	Energy tips	Porady energetyczne	Energietipps	Consejos energéticos	Dicas de energia	Conseils énergétiques	Consigli energetici	Enerji ipuçları	Kiat energi	เคล็ดลับด้านพลังงาน	エネルギーに関するヒント	에너지 팁	能量小贴士	نصائح للطاقة	Энергетические советы	Енергетичні поради	Lời khuyên về năng lượng	ऊर्जा युक्तियाँ	শক্তি টিপস	توانائی کے نکات	Tips tenaga	Vidokezo vya nishati	טיפים לאנרגיה	Συμβουλές ενέργειας	Energietips	Energispartips	Sfaturi energie	Energiatippek	Energetické tipy	Energetické tipy	Saveti za energiju	Енергийни съвети
